date,花粉症,overlap
2018-12-30,0.0,1.0
2018-12-31,1.0,1.0
2019-01-01,0.0,1.0
2019-01-02,2.0,1.0
2019-01-03,2.0,1.0
2019-01-04,2.0,1.0
2019-01-05,2.0,1.0
2019-01-06,1.0,1.0
2019-01-07,2.0,1.0
2019-01-08,1.0,1.0
2019-01-09,3.0,1.0
2019-01-10,3.0,1.0
2019-01-11,3.0,1.0
2019-01-12,2.0,1.0
2019-01-13,2.0,1.0
2019-01-14,3.0,1.0
2019-01-15,3.0,1.0
2019-01-16,3.0,1.0
2019-01-17,5.0,1.0
2019-01-18,5.0,1.0
2019-01-19,5.0,1.0
2019-01-20,4.0,1.0
2019-01-21,4.0,1.0
2019-01-22,5.0,1.0
2019-01-23,4.0,1.0
2019-01-24,4.0,1.0
2019-01-25,4.0,1.0
2019-01-26,4.0,1.0
2019-01-27,3.0,1.0
2019-01-28,5.0,1.0
2019-01-29,4.0,1.0
2019-01-30,5.0,1.0
2019-01-31,5.0,1.0
2019-02-01,5.0,1.0
2019-02-02,5.0,1.0
2019-02-03,8.0,1.0
2019-02-04,11.0,1.0
2019-02-05,9.0,1.0
2019-02-06,9.0,1.0
2019-02-07,9.0,1.0
2019-02-08,7.0,1.0
2019-02-09,6.0,1.0
2019-02-10,7.0,1.0
2019-02-11,7.0,1.0
2019-02-12,9.0,1.0
2019-02-13,13.0,1.0
2019-02-14,11.0,1.0
2019-02-15,11.0,1.0
2019-02-16,10.0,1.0
2019-02-17,13.0,1.0
2019-02-18,19.0,1.0
2019-02-19,18.0,1.0
2019-02-20,37.0,1.0
2019-02-21,49.0,1.0
2019-02-22,45.0,1.0
2019-02-23,46.0,1.0
2019-02-24,44.0,1.0
2019-02-25,58.0,1.0
2019-02-26,83.0,1.0
2019-02-27,70.0,
2019-02-28,41.0,
2019-03-01,45.0,
2019-03-02,65.0,
2019-03-03,53.0,
2019-03-04,46.0,
2019-03-05,69.0,
2019-03-06,71.0,
2019-03-07,59.0,
2019-03-08,85.0,
2019-03-09,100.0,
2019-03-10,79.0,
2019-03-11,65.0,
2019-03-12,65.0,
2019-03-13,67.0,
2019-03-14,59.0,
2019-03-15,47.0,
2019-03-16,40.0,
2019-03-17,34.0,
2019-03-18,36.0,
2019-03-19,35.0,
2019-03-20,33.0,
2019-03-21,33.0,
2019-03-22,42.0,
2019-03-23,32.0,
2019-03-24,30.0,
2019-03-25,43.0,
2019-03-26,29.0,
2019-03-27,28.0,
2019-03-28,27.0,
2019-03-29,21.0,
2019-03-30,16.0,
2019-03-31,15.0,
2019-04-01,12.0,
2019-04-02,11.0,
2019-04-03,16.0,
2019-04-04,15.0,
2019-04-05,18.0,
2019-04-06,23.0,
2019-04-07,21.0,
2019-04-08,15.0,
2019-04-09,17.0,
2019-04-10,14.0,
2019-04-11,13.0,
2019-04-12,9.0,
2019-04-13,8.0,
2019-04-14,9.0,
2019-04-15,13.0,
2019-04-16,10.0,
2019-04-17,12.0,
2019-04-18,10.0,
2019-04-19,8.0,
2019-04-20,7.0,
2019-04-21,9.0,
2019-04-22,11.0,
2019-04-23,9.0,
2019-04-24,8.0,
2019-04-25,5.0,
2019-04-26,4.0,
2019-04-27,3.0,
2019-04-28,4.0,
2019-04-29,5.0,
2019-04-30,4.0,
2019-05-01,3.0,
2019-05-02,5.0,
2019-05-03,6.0,
2019-05-04,5.0,
2019-05-05,6.0,
2019-05-06,5.0,1.0
2019-05-07,6.0,1.0
2019-05-08,5.0,1.0
2019-05-09,6.0,1.0
2019-05-10,5.0,1.0
2019-05-11,5.0,1.0
2019-05-12,3.0,1.0
2019-05-13,5.0,1.0
2019-05-14,4.0,1.0
2019-05-15,3.0,1.0
2019-05-16,4.0,1.0
2019-05-17,3.0,1.0
2019-05-18,4.0,1.0
2019-05-19,4.0,1.0
2019-05-20,5.0,1.0
2019-05-21,3.0,1.0
2019-05-22,4.0,1.0
2019-05-23,5.0,1.0
2019-05-24,7.0,1.0
2019-05-25,5.0,1.0
2019-05-26,5.0,1.0
2019-05-27,4.0,1.0
2019-05-28,3.0,1.0
2019-05-29,3.0,1.0
2019-05-30,4.0,1.0
2019-05-31,3.0,1.0
2019-06-01,3.0,1.0
2019-06-02,3.0,1.0
2019-06-03,2.0,1.0
2019-06-04,2.0,1.0
2019-06-05,3.0,1.0
2019-06-06,2.0,1.0
2019-06-07,2.0,1.0
2019-06-08,2.0,1.0
2019-06-09,1.0,1.0
2019-06-10,1.0,1.0
2019-06-11,2.0,1.0
2019-06-12,2.0,1.0
2019-06-13,1.0,1.0
2019-06-14,2.0,1.0
2019-06-15,1.0,1.0
2019-06-16,2.0,1.0
2019-06-17,2.0,1.0
2019-06-18,1.0,1.0
2019-06-19,1.0,1.0
2019-06-20,1.0,1.0
2019-06-21,2.0,1.0
2019-06-22,1.0,1.0
2019-06-23,1.0,1.0
2019-06-24,1.0,1.0
2019-06-25,2.0,1.0
2019-06-26,1.0,1.0
2019-06-27,1.0,1.0
2019-06-28,1.0,1.0
2019-06-29,1.0,1.0
2019-06-30,0.0,1.0
2019-07-01,1.0,1.0
2019-07-02,1.0,1.0
2019-07-03,1.0,1.0
2019-07-04,0.0,1.0
2019-07-05,1.0,1.0
2019-07-06,1.0,1.0
2019-07-07,1.0,1.0
2019-07-08,2.0,1.0
2019-07-09,1.0,1.0
2019-07-10,2.0,1.0
2019-07-11,1.0,1.0
2019-07-12,1.0,1.0
2019-07-13,1.0,1.0
2019-07-14,1.0,1.0
2019-07-15,0.0,1.0
2019-07-16,1.0,1.0
2019-07-17,1.0,1.0
2019-07-18,1.0,1.0
2019-07-19,1.0,1.0
2019-07-20,0.0,1.0
2019-07-21,1.0,1.0
2019-07-22,1.0,1.0
2019-07-23,1.0,1.0
2019-07-24,1.0,1.0
2019-07-25,1.0,1.0
2019-07-26,0.0,1.0
2019-07-27,1.0,1.0
2019-07-28,1.0,1.0
2019-07-29,1.0,1.0
2019-07-30,1.0,1.0
2019-07-31,0.0,1.0
2019-08-01,0.0,1.0
2019-08-02,0.0,1.0
2019-08-03,0.0,1.0
2019-08-04,1.0,1.0
2019-08-05,1.0,1.0
2019-08-06,1.0,1.0
2019-08-07,1.0,1.0
2019-08-08,1.0,1.0
2019-08-09,0.0,1.0
2019-08-10,1.0,1.0
2019-08-11,1.0,1.0
2019-08-12,0.0,1.0
2019-08-13,1.0,1.0
2019-08-14,1.0,1.0
2019-08-15,1.0,
2019-08-16,1.0,
2019-08-17,1.0,
2019-08-18,1.0,
2019-08-19,1.0,
2019-08-20,1.0,
2019-08-21,0.0,
2019-08-22,1.0,
2019-08-23,6.0,
2019-08-24,2.0,
2019-08-25,2.0,
2019-08-26,2.0,
2019-08-27,2.0,
2019-08-28,2.0,
2019-08-29,3.0,
2019-08-30,2.0,
2019-08-31,1.0,
2019-09-01,1.0,
2019-09-02,2.0,
2019-09-03,2.0,
2019-09-04,1.0,
2019-09-05,2.0,
2019-09-06,2.0,
2019-09-07,1.0,
2019-09-08,1.0,
2019-09-09,3.0,
2019-09-10,2.0,
2019-09-11,2.0,
2019-09-12,1.0,
2019-09-13,2.0,
2019-09-14,2.0,
2019-09-15,3.0,
2019-09-16,2.0,
2019-09-17,2.0,
2019-09-18,1.0,
2019-09-19,3.0,
2019-09-20,3.0,
2019-09-21,3.0,
2019-09-22,1.0,
2019-09-23,2.0,
2019-09-24,3.0,
2019-09-25,3.0,
2019-09-26,3.0,
2019-09-27,2.0,
2019-09-28,1.0,
2019-09-29,1.0,
2019-09-30,3.0,
2019-10-01,2.0,
2019-10-02,2.0,
2019-10-03,2.0,
2019-10-04,1.0,
2019-10-05,1.0,
2019-10-06,2.0,
2019-10-07,2.0,
2019-10-08,2.0,
2019-10-09,4.0,
2019-10-10,2.0,
2019-10-11,1.0,
2019-10-12,1.0,
2019-10-13,2.0,
2019-10-14,1.0,
2019-10-15,2.0,
2019-10-16,2.0,
2019-10-17,3.0,
2019-10-18,3.0,
2019-10-19,2.0,
2019-10-20,2.0,
2019-10-21,2.0,
2019-10-22,2.0,1.0
2019-10-23,2.0,1.0
2019-10-24,2.0,1.0
2019-10-25,2.0,1.0
2019-10-26,2.0,1.0
2019-10-27,2.0,1.0
2019-10-28,4.0,1.0
2019-10-29,2.0,1.0
2019-10-30,1.0,1.0
2019-10-31,3.0,1.0
2019-11-01,1.0,1.0
2019-11-02,1.0,1.0
2019-11-03,2.0,1.0
2019-11-04,3.0,1.0
2019-11-05,3.0,1.0
2019-11-06,3.0,1.0
2019-11-07,4.0,1.0
2019-11-08,3.0,1.0
2019-11-09,2.0,1.0
2019-11-10,2.0,1.0
2019-11-11,3.0,1.0
2019-11-12,2.0,1.0
2019-11-13,3.0,1.0
2019-11-14,3.0,1.0
2019-11-15,1.0,1.0
2019-11-16,2.0,1.0
2019-11-17,3.0,1.0
2019-11-18,3.0,1.0
2019-11-19,3.0,1.0
2019-11-20,2.0,1.0
2019-11-21,2.0,1.0
2019-11-22,2.0,1.0
2019-11-23,2.0,1.0
2019-11-24,1.0,1.0
2019-11-25,2.0,1.0
2019-11-26,2.0,1.0
2019-11-27,1.0,1.0
2019-11-28,1.0,1.0
2019-11-29,1.0,1.0
2019-11-30,1.0,1.0
2019-12-01,3.0,1.0
2019-12-02,2.0,1.0
2019-12-03,2.0,1.0
2019-12-04,2.0,1.0
2019-12-05,2.0,1.0
2019-12-06,1.0,1.0
2019-12-07,1.0,1.0
2019-12-08,2.0,1.0
2019-12-09,1.0,1.0
2019-12-10,2.0,1.0
2019-12-11,2.0,1.0
2019-12-12,1.0,1.0
2019-12-13,2.0,1.0
2019-12-14,1.0,1.0
2019-12-15,2.0,1.0
2019-12-16,1.0,1.0
2019-12-17,2.0,1.0
2019-12-18,1.0,1.0
2019-12-19,2.0,1.0
2019-12-20,2.0,1.0
2019-12-21,2.0,1.0
2019-12-22,1.0,1.0
2019-12-23,1.0,1.0
2019-12-24,1.0,1.0
2019-12-25,1.0,1.0
2019-12-26,2.0,1.0
2019-12-27,2.0,1.0
2019-12-28,1.0,1.0
2019-12-29,0.0,1.0
2019-12-30,1.0,1.0
2019-12-31,1.0,1.0
2020-01-01,1.0,1.0
2020-01-02,2.0,1.0
2020-01-03,2.0,1.0
2020-01-04,2.0,1.0
2020-01-05,2.0,1.0
2020-01-06,2.0,1.0
2020-01-07,2.0,1.0
2020-01-08,3.0,1.0
2020-01-09,6.0,1.0
2020-01-10,4.0,1.0
2020-01-11,3.0,1.0
2020-01-12,3.0,1.0
2020-01-13,4.0,1.0
2020-01-14,4.0,1.0
2020-01-15,4.0,1.0
2020-01-16,5.0,1.0
2020-01-17,3.0,1.0
2020-01-18,3.0,1.0
2020-01-19,3.0,1.0
2020-01-20,5.0,1.0
2020-01-21,4.0,1.0
2020-01-22,5.0,1.0
2020-01-23,3.0,1.0
2020-01-24,6.0,1.0
2020-01-25,5.0,1.0
2020-01-26,5.0,1.0
2020-01-27,5.0,1.0
2020-01-28,4.0,1.0
2020-01-29,7.0,1.0
2020-01-30,7.0,1.0
2020-01-31,7.0,
2020-02-01,9.0,
2020-02-02,10.0,
2020-02-03,15.0,
2020-02-04,12.0,
2020-02-05,14.0,
2020-02-06,12.0,
2020-02-07,11.0,
2020-02-08,13.0,
2020-02-09,17.0,
2020-02-10,15.0,
2020-02-11,18.0,
2020-02-12,21.0,
2020-02-13,27.0,
2020-02-14,23.0,
2020-02-15,27.0,
2020-02-16,23.0,
2020-02-17,37.0,
2020-02-18,56.0,
2020-02-19,54.0,
2020-02-20,44.0,
2020-02-21,46.0,
2020-02-22,48.0,
2020-02-23,67.0,
2020-02-24,63.0,
2020-02-25,56.0,
2020-02-26,52.0,
2020-02-27,44.0,
2020-02-28,40.0,
2020-02-29,36.0,
2020-03-01,39.0,
2020-03-02,42.0,
2020-03-03,47.0,
2020-03-04,46.0,
2020-03-05,48.0,
2020-03-06,39.0,
2020-03-07,34.0,
2020-03-08,29.0,
2020-03-09,30.0,
2020-03-10,28.0,
2020-03-11,28.0,
2020-03-12,31.0,
2020-03-13,33.0,
2020-03-14,20.0,
2020-03-15,21.0,
2020-03-16,18.0,
2020-03-17,19.0,
2020-03-18,21.0,
2020-03-19,20.0,
2020-03-20,19.0,
2020-03-21,20.0,
2020-03-22,19.0,
2020-03-23,20.0,
2020-03-24,15.0,
2020-03-25,15.0,
2020-03-26,15.0,
2020-03-27,16.0,
2020-03-28,14.0,
2020-03-29,13.0,
2020-03-30,11.0,
2020-03-31,13.0,
2020-04-01,10.0,
2020-04-02,15.0,
2020-04-03,12.0,
2020-04-04,13.0,
2020-04-05,17.0,
2020-04-06,16.0,
2020-04-07,15.0,
2020-04-08,14.0,1.0
2020-04-09,12.0,1.0
2020-04-10,11.0,1.0
2020-04-11,12.0,1.0
2020-04-12,10.0,1.0
2020-04-13,8.0,1.0
2020-04-14,10.0,1.0
2020-04-15,9.0,1.0
2020-04-16,10.0,1.0
2020-04-17,8.0,1.0
2020-04-18,6.0,1.0
2020-04-19,8.0,1.0
2020-04-20,7.0,1.0
2020-04-21,7.0,1.0
2020-04-22,7.0,1.0
2020-04-23,6.0,1.0
2020-04-24,5.0,1.0
2020-04-25,8.0,1.0
2020-04-26,6.0,1.0
2020-04-27,5.0,1.0
2020-04-28,7.0,1.0
2020-04-29,5.0,1.0
2020-04-30,5.0,1.0
2020-05-01,5.0,1.0
2020-05-02,4.0,1.0
2020-05-03,6.0,1.0
2020-05-04,6.0,1.0
2020-05-05,4.0,1.0
2020-05-06,5.0,1.0
2020-05-07,6.0,1.0
2020-05-08,6.0,1.0
2020-05-09,6.0,1.0
2020-05-10,4.0,1.0
2020-05-11,5.0,1.0
2020-05-12,5.0,1.0
2020-05-13,6.0,1.0
2020-05-14,5.0,1.0
2020-05-15,7.0,1.0
2020-05-16,4.0,1.0
2020-05-17,4.0,1.0
2020-05-18,4.0,1.0
2020-05-19,4.0,1.0
2020-05-20,3.0,1.0
2020-05-21,3.0,1.0
2020-05-22,4.0,1.0
2020-05-23,4.0,1.0
2020-05-24,6.0,1.0
2020-05-25,5.0,1.0
2020-05-26,3.0,1.0
2020-05-27,4.0,1.0
2020-05-28,3.0,1.0
2020-05-29,4.0,1.0
2020-05-30,4.0,1.0
2020-05-31,4.0,1.0
2020-06-01,4.0,1.0
2020-06-02,2.0,1.0
2020-06-03,2.0,1.0
2020-06-04,3.0,1.0
2020-06-05,2.0,1.0
2020-06-06,3.0,1.0
2020-06-07,3.0,1.0
2020-06-08,3.0,1.0
2020-06-09,2.0,1.0
2020-06-10,2.0,1.0
2020-06-11,1.0,1.0
2020-06-12,2.0,1.0
2020-06-13,1.0,1.0
2020-06-14,2.0,1.0
2020-06-15,1.0,1.0
2020-06-16,2.0,1.0
2020-06-17,2.0,1.0
2020-06-18,1.0,1.0
2020-06-19,1.0,1.0
2020-06-20,2.0,1.0
2020-06-21,2.0,1.0
2020-06-22,2.0,1.0
2020-06-23,1.0,1.0
2020-06-24,1.0,1.0
2020-06-25,2.0,1.0
2020-06-26,1.0,1.0
2020-06-27,1.0,1.0
2020-06-28,1.0,1.0
2020-06-29,1.0,1.0
2020-06-30,1.0,1.0
2020-07-01,1.0,1.0
2020-07-02,1.0,1.0
2020-07-03,1.0,1.0
2020-07-04,1.0,1.0
2020-07-05,2.0,1.0
2020-07-06,1.0,1.0
2020-07-07,1.0,1.0
2020-07-08,1.0,1.0
2020-07-09,1.0,1.0
2020-07-10,1.0,1.0
2020-07-11,1.0,1.0
2020-07-12,1.0,1.0
2020-07-13,2.0,1.0
2020-07-14,2.0,1.0
2020-07-15,1.0,1.0
2020-07-16,1.0,1.0
2020-07-17,1.0,1.0
2020-07-18,1.0,
2020-07-19,2.0,
2020-07-20,2.0,
2020-07-21,1.0,
2020-07-22,2.0,
2020-07-23,1.0,
2020-07-24,1.0,
2020-07-25,1.0,
2020-07-26,0.0,
2020-07-27,1.0,
2020-07-28,1.0,
2020-07-29,1.0,
2020-07-30,1.0,
2020-07-31,1.0,
2020-08-01,2.0,
2020-08-02,2.0,
2020-08-03,2.0,
2020-08-04,1.0,
2020-08-05,2.0,
2020-08-06,2.0,
2020-08-07,1.0,
2020-08-08,1.0,
2020-08-09,1.0,
2020-08-10,1.0,
2020-08-11,1.0,
2020-08-12,1.0,
2020-08-13,1.0,
2020-08-14,1.0,
2020-08-15,2.0,
2020-08-16,1.0,
2020-08-17,1.0,
2020-08-18,1.0,
2020-08-19,2.0,
2020-08-20,2.0,
2020-08-21,1.0,
2020-08-22,2.0,
2020-08-23,2.0,
2020-08-24,2.0,
2020-08-25,2.0,
2020-08-26,1.0,
2020-08-27,3.0,
2020-08-28,2.0,
2020-08-29,1.0,
2020-08-30,1.0,
2020-08-31,3.0,
2020-09-01,2.0,
2020-09-02,2.0,
2020-09-03,1.0,
2020-09-04,1.0,
2020-09-05,1.0,
2020-09-06,1.0,
2020-09-07,1.0,
2020-09-08,2.0,
2020-09-09,1.0,
2020-09-10,2.0,
2020-09-11,1.0,
2020-09-12,1.0,
2020-09-13,1.0,
2020-09-14,2.0,
2020-09-15,2.0,
2020-09-16,2.0,
2020-09-17,2.0,
2020-09-18,2.0,
2020-09-19,2.0,
2020-09-20,1.0,
2020-09-21,3.0,
2020-09-22,2.0,
2020-09-23,2.0,
2020-09-24,1.0,
2020-09-25,2.0,
2020-09-26,2.0,
2020-09-27,2.0,
2020-09-28,3.0,
2020-09-29,2.0,
2020-09-30,2.0,
2020-10-01,1.0,
2020-10-02,3.0,
2020-10-03,4.0,
2020-10-04,3.0,
2020-10-05,2.0,
2020-10-06,3.0,
2020-10-07,2.0,
2020-10-08,3.0,
2020-10-09,2.0,
2020-10-10,3.0,
2020-10-11,2.0,
2020-10-12,2.0,
2020-10-13,3.0,
2020-10-14,2.0,
2020-10-15,2.0,
2020-10-16,3.0,
2020-10-17,2.0,
2020-10-18,2.0,
2020-10-19,4.0,
2020-10-20,3.0,
2020-10-21,3.0,
2020-10-22,2.0,
2020-10-23,1.0,
2020-10-24,3.0,
2020-10-25,3.0,
2020-10-26,3.0,
2020-10-27,3.0,
2020-10-28,2.0,
2020-10-29,2.0,
2020-10-30,2.0,
2020-10-31,2.0,
2020-11-01,2.0,
2020-11-02,2.0,
2020-11-03,1.0,
2020-11-04,1.0,
2020-11-05,1.0,
2020-11-06,1.0,
2020-11-07,1.0,
2020-11-08,1.0,
2020-11-09,2.0,
2020-11-10,2.0,
2020-11-11,1.0,
2020-11-12,2.0,
2020-11-13,2.0,
2020-11-14,1.0,
2020-11-15,1.0,
2020-11-16,1.0,
2020-11-17,2.0,
2020-11-18,1.0,
2020-11-19,1.0,
2020-11-20,1.0,
2020-11-21,0.0,
2020-11-22,1.0,
2020-11-23,1.0,
2020-11-24,2.0,
2020-11-25,1.0,
2020-11-26,1.0,
2020-11-27,1.0,
2020-11-28,1.0,
2020-11-29,1.0,
2020-11-30,1.0,
2020-12-01,2.0,
2020-12-02,1.0,
2020-12-03,1.0,
2020-12-04,3.0,
2020-12-05,1.0,
2020-12-06,0.0,
2020-12-07,2.0,
2020-12-08,1.0,
2020-12-09,1.0,
2020-12-10,1.0,
2020-12-11,1.0,
2020-12-12,2.0,
2020-12-13,1.0,
2020-12-14,1.0,
2020-12-15,1.0,
2020-12-16,1.0,
2020-12-17,1.0,
2020-12-18,0.0,
2020-12-19,1.0,
2020-12-20,2.0,
2020-12-21,1.0,
2020-12-22,2.0,
2020-12-23,1.0,
2020-12-24,1.0,
2020-12-25,1.0,
2020-12-26,2.0,
2020-12-27,1.0,
2020-12-28,1.0,
2020-12-29,1.0,
2020-12-30,1.0,
2020-12-31,0.0,
2021-01-01,1.0,
2021-01-02,2.0,
